             tagname             | average_total | tag_count 
 uiswipegesturerecognizer        |        20.000 |         1
 video-capture                   |        20.000 |         1
 visual-studio-mac               |        20.000 |         1
 zipcode                         |        20.000 |         1
 .net-core                       |        19.933 |        15
 android-studio                  |        19.913 |        92
 material-design                 |        19.889 |         9
 curl                            |        19.846 |        13
 virtualenv                      |        19.833 |         6
 tooltip                         |        19.750 |         4
 uilabel                         |        19.750 |         4
 app-store-connect               |        19.667 |         9
 mvvm                            |        19.667 |         6
 mingw                           |        19.667 |         3
 service                         |        19.667 |         3
 asynchronous                    |        19.625 |         8
 build.gradle                    |        19.571 |         7
 keras                           |        19.571 |         7
 xcode6                          |        19.500 |        10
 angularjs-filter                |        19.500 |         2
 data-modeling                   |        19.500 |         2
 entity                          |        19.500 |         2
 entity-framework-4.1            |        19.500 |         2
 es6-promise                     |        19.500 |         2
 google-oauth                    |        19.500 |         2
 large-files                     |        19.500 |         2
 number-formatting               |        19.500 |         2
 require                         |        19.500 |         2
 spring-tool-suite               |        19.500 |         2
 language-agnostic               |        19.447 |        85
 google-play                     |        19.429 |         7
 git-pull                        |        19.400 |         5
 postgresql                      |        19.378 |        37
 select                          |        19.375 |         8
 datatables                      |        19.333 |        12
 classnotfoundexception          |        19.333 |         3
 ellipsis                        |        19.333 |         3
 uitabbar                        |        19.333 |         3
 anaconda                        |        19.300 |        10
 ruby-on-rails-3                 |        19.300 |        10
 nginx                           |        19.250 |        12
 language-design                 |        19.250 |         8
 append                          |        19.250 |         4
 closures                        |        19.250 |         4
 firebase-cloud-messaging        |        19.250 |         4
 uiimage                         |        19.200 |        10
 border                          |        19.200 |         5
 field                           |        19.200 |         5
 nested                          |        19.200 |         5
 localhost                       |        19.167 |        12
 readability                     |        19.167 |         6
 dom-events                      |        19.143 |         7
 internet-explorer-8             |        19.143 |         7
 random                          |        19.098 |        41
 format                          |        19.000 |         9
 version                         |        19.000 |         9
 wcf                             |        19.000 |         9
 reverse                         |        19.000 |         8
 keychain                        |        19.000 |         5
 annotations                     |        19.000 |         4
 relative-path                   |        19.000 |         4
 state                           |        19.000 |         4
 android-studio-3.0              |        19.000 |         3
 browser-detection               |        19.000 |         3
 32-bit                          |        19.000 |         2
 64-bit                          |        19.000 |         2
 addeventlistener                |        19.000 |         2
 android-tabs                    |        19.000 |         2
 bundler                         |        19.000 |         2
 css-multicolumn-layout          |        19.000 |         2
 remote-debugging                |        19.000 |         2
